,Country,Happiness Rank,Year_2016
0,Denmark,1,5731118.0
1,Switzerland,2,8372098.0
2,Iceland,3,334252.0
3,Norway,4,5232929.0
4,Finland,5,5495096.0
5,Canada,6,36286425.0
6,Netherlands,7,17018408.0
7,New Zealand,8,4692700.0
8,Australia,9,24127159.0
9,Sweden,10,9903122.0
10,Israel,11,8547100.0
11,Austria,12,8747358.0
12,United States,13,323127513.0
13,Costa Rica,14,4857274.0
14,Puerto Rico,15,3411307.0
15,Germany,16,82667685.0
16,Brazil,17,207652865.0
17,Belgium,18,11348159.0
18,Ireland,19,4773095.0
19,Luxembourg,20,582972.0
20,Mexico,21,127540423.0
21,Singapore,22,5607283.0
22,United Kingdom,23,65637239.0
23,Chile,24,17909754.0
24,Panama,25,4034119.0
25,Argentina,26,43847430.0
26,Czech Republic,27,10561633.0
27,United Arab Emirates,28,9269612.0
28,Uruguay,29,3444006.0
29,Malta,30,436947.0
30,Colombia,31,48653419.0
31,France,32,66896109.0
32,Thailand,33,68863514.0
33,Saudi Arabia,34,32275687.0
34,Qatar,36,2569804.0
35,Spain,37,46443959.0
36,Algeria,38,40606052.0
37,Guatemala,39,16582469.0
38,Suriname,40,558368.0
39,Kuwait,41,4052584.0
40,Bahrain,42,1425171.0
41,Trinidad and Tobago,43,1364962.0
42,El Salvador,46,6344722.0
43,Malaysia,47,31187265.0
44,Nicaragua,48,6149928.0
45,Uzbekistan,49,31848200.0
46,Italy,50,60600590.0
47,Ecuador,51,16385068.0
48,Belize,52,366954.0
49,Japan,53,126994511.0
50,Kazakhstan,54,17797032.0
51,Moldova,55,3552000.0
52,Poland,57,37948016.0
53,Bolivia,59,10887882.0
54,Lithuania,60,2872298.0
55,Belarus,61,9507120.0
56,Slovenia,63,2064845.0
57,Peru,64,31773839.0
58,Turkmenistan,65,5662544.0
59,Mauritius,66,1263473.0
60,Libya,67,6293253.0
61,Latvia,68,1960424.0
62,Cyprus,69,1170125.0
63,Paraguay,70,6725308.0
64,Romania,71,19705301.0
65,Estonia,72,1316481.0
66,Jamaica,73,2881355.0
67,Croatia,74,4170600.0
68,Somalia,76,14317996.0
69,Kosovo,77,1816200.0
70,Turkey,78,79512426.0
71,Indonesia,79,261115456.0
72,Jordan,80,9455802.0
73,Azerbaijan,81,9762274.0
74,Philippines,82,103320222.0
76,Bhutan,84,797765.0
77,Serbia,86,7057412.0
78,Bosnia and Herzegovina,87,3516816.0
79,Montenegro,88,622781.0
80,Dominican Republic,89,10648791.0
81,Morocco,90,35276786.0
82,Hungary,91,9817958.0
83,Pakistan,92,193203476.0
84,Lebanon,93,6006668.0
85,Portugal,94,10324611.0
86,Vietnam,96,92701100.0
87,Tunisia,98,11403248.0
88,Greece,99,10746740.0
89,Tajikistan,100,8734951.0
90,Mongolia,101,3027398.0
91,Nigeria,103,185989640.0
92,Honduras,104,9112867.0
93,Zambia,106,16591390.0
94,Nepal,107,28982771.0
95,Albania,109,2876101.0
96,Bangladesh,110,162951560.0
97,Sierra Leone,111,7396190.0
98,Iraq,112,37202572.0
99,Namibia,113,2479713.0
100,Cameroon,114,23439189.0
101,Ethiopia,115,102403196.0
102,South Africa,116,55908865.0
103,Sri Lanka,117,21203000.0
105,Myanmar,119,52885223.0
106,Armenia,121,2924816.0
107,Kenya,122,48461567.0
108,Ukraine,123,45004645.0
109,Ghana,124,28206728.0
110,Georgia,126,3719300.0
111,Senegal,128,15411614.0
112,Bulgaria,129,7127822.0
113,Mauritania,130,4301018.0
114,Zimbabwe,131,16150362.0
115,Malawi,132,18091575.0
116,Sudan,133,39578828.0
117,Gabon,134,1979786.0
118,Mali,135,17994837.0
119,Haiti,136,10847334.0
120,Botswana,137,2250260.0
121,Comoros,138,795601.0
122,Cambodia,140,15762370.0
123,Angola,141,28813463.0
124,Niger,142,20672987.0
125,South Sudan,143,12230730.0
126,Chad,144,14452543.0
127,Burkina Faso,145,18646433.0
128,Uganda,145,41487965.0
129,Madagascar,148,24894551.0
130,Tanzania,149,55572201.0
131,Liberia,150,4613823.0
132,Guinea,151,12395924.0
133,Rwanda,152,11917508.0
134,Benin,153,10872298.0
135,Afghanistan,154,34656032.0
136,Togo,155,7606374.0
137,Burundi,157,10524117.0
